changed_lines,churn,churn adds,churn dels,cyclomatic,lines,mean experience
ACCESS_TO_PUB_DATA,avgBRANCH_COUNT,avgCYCLOMATIC_COMPLEXITY,avgDESIGN_COMPLEXITY,avgESSENTIAL_COMPLEXITY,avgHALSTEAD_CONTENT,avgHALSTEAD_DIFFICULTY
avgHALSTEAD_EFFORT,avgHALSTEAD_ERROR_EST,avgHALSTEAD_LENGTH,avgHALSTEAD_LEVEL,avgHALSTEAD_PROG_TIME,avgHALSTEAD_VOLUME,avgLOC_BLANK
avgLOC_CODE_AND_COMMENT,avgLOC_COMMENTS,avgLOC_EXECUTABLE,avgLOC_TOTAL,avgNUM_OPERANDS,avgNUM_OPERATORS,avgNUM_UNIQUE_OPERANDS
mfa,moa,noc,npm,rfc,wmc,
amc,avg_cc,ca,cam,cbm,cbo,ce
blank_loc,,call_pairs,code_and_comment_loc,comment_loc,condition_count,cyclomatic_complexity
BRANCH_COUNT,CYCLOMATIC_COMPLEXITY,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY
cyclomatic_density,decision_count,decision_density,design_complexity,design_density,executable_loc,formal_parameters
DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY
halstead_difficulty,halstead_effort,halstead_error,halstead_length,halstead_level,halstead_time,halstead_vocabulary
PERCENT_COMMENTS,Defective,minNUM_OPERANDS,sumLOC_EXECUTABLE,LOC_CODE_AND_COMMENT,maxLOC_TOTAL,halstead_volume
b,branchCount,d,e,ev(g),i,iv(g)
HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,LOC_BLANK
dam,dit,ic,lcom,lcom3,loc,max_cc
COUPLING_BETWEEN_OBJECTS,DEP_ON_CHILD,DEPTH,FAN_IN,LACK_OF_COHESION_OF_METHODS,maxBRANCH_COUNT,maxCYCLOMATIC_COMPLEXITY
maxDESIGN_COMPLEXITY,maxESSENTIAL_COMPLEXITY,maxHALSTEAD_CONTENT,maxHALSTEAD_DIFFICULTY,maxHALSTEAD_EFFORT,maxHALSTEAD_ERROR_EST,maxHALSTEAD_LENGTH
maxHALSTEAD_LEVEL,maxHALSTEAD_PROG_TIME,maxHALSTEAD_VOLUME,maxLOC_BLANK,maxLOC_CODE_AND_COMMENT,maxLOC_COMMENTS,maxLOC_EXECUTABLE
maxNUM_OPERANDS,maxNUM_OPERATORS,maxNUM_UNIQUE_OPERANDS,maxNUM_UNIQUE_OPERATORS,minBRANCH_COUNT,minCYCLOMATIC_COMPLEXITY,minDESIGN_COMPLEXITY
minESSENTIAL_COMPLEXITY,minHALSTEAD_CONTENT,minHALSTEAD_DIFFICULTY,minHALSTEAD_EFFORT,minHALSTEAD_ERROR_EST,minHALSTEAD_LENGTH,minHALSTEAD_LEVEL
minHALSTEAD_PROG_TIME,minHALSTEAD_VOLUME,minLOC_BLANK,minLOC_CODE_AND_COMMENT,minLOC_COMMENTS,minLOC_EXECUTABLE,minLOC_TOTAL
l,lOBlank,loc,lOCode,lOCodeAndComment,lOComment,n
LOC_COMMENTS,LOC_EXECUTABLE,LOC_TOTAL,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT
LOC_COMMENTS,LOC_EXECUTABLE,LOC_TOTAL,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS
sumLOC_TOTAL,sumNUM_OPERANDS,sumNUM_OPERATORS,sumNUM_UNIQUE_OPERANDS,sumNUM_UNIQUE_OPERATORS,WEIGHTED_METHODS_PER_CLASS,NUMDEFECTS
NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PARAMETER_COUNT
name,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_EFFORT,defects,avgNUM_UNIQUE_OPERATORS,problems
minNUM_OPERATORS,minNUM_UNIQUE_OPERANDS,minNUM_UNIQUE_OPERATORS,NUM_OF_CHILDREN,PERCENT_PUB_DATA,RESPONSE_FOR_CLASS,sumBRANCH_COUNT
sumCYCLOMATIC_COMPLEXITY,sumDESIGN_COMPLEXITY,sumESSENTIAL_COMPLEXITY,sumHALSTEAD_CONTENT,sumHALSTEAD_DIFFICULTY,sumHALSTEAD_EFFORT,sumHALSTEAD_ERROR_EST
sumHALSTEAD_LENGTH,sumHALSTEAD_LEVEL,sumHALSTEAD_PROG_TIME,sumHALSTEAD_VOLUME,sumLOC_BLANK,sumLOC_CODE_AND_COMMENT,sumLOC_COMMENTS
multiple_condition_count,normalized_cyclomatic_complexity,total_loc,total_operands,total_operators,unique_operands,unique_operators
t,total_Op,total_Opnd,uniq_Op,uniq_Opnd,v,v(g)
$num_cochanged_files,$num_commits,$num_developers,$num_pre_release_issues,$post_num_commits,,version
